playerId,season,팀명,AVG,G,AB,R,H,2B,3B,HR,RBI,SB,BB,HBP,SO,SLG,OBP,PA,TB,CS,SAC,SF,ERA,CG,SHO,W,L,SV,HLD,WPCT,TBF,NP,IP,ER
55899,2025,SSG,0.224,32,67,11,15,3,0,1,5,2,15,2,12,0.313,0.368,,,,,,,,,,,,,,,,,
52809,2025,SSG,,33,,,47,8,0,5,,,,,,,,,,,,,4.56,0,0,1,5,0,0,0.167,223,970,51 1/3,
66858,2025,SSG,,10,,,19,6,0,2,,,,,,,,,,,,,9.19,0,0,0,0,0,0,-,75,289,15 2/3,
54812,2025,SSG,0.248,127,359,57,89,10,3,0,24,37,,,,,,425,105,8,16,1,,,,,,,,,,,,
54815,2025,SSG,0.5,3,2,0,1,1,0,0,0,0,,,,,,2,2,0,0,0,,,,,,,,,,,,
51897,2025,SSG,,67,,,41,7,0,5,,,,,,,,,,,,,1.65,0,0,5,4,28,0,0.556,248,1067,65 1/3,
51809,2025,SSG,0.2,2,,1,1,,,0,,,5,0,1,,,,,,,,6.75,,,0,0,0,1,-,,,1 1/3,1
51865,2025,SSG,0.246,98,260,23,64,8,0,4,29,0,,,,,,284,84,0,1,2,,,,,,,,,,,,
69804,2025,SSG,0.195,37,41,8,8,1,1,1,9,1,,,,,,45,14,0,0,1,,,,,,,,,,,,
55890,2025,SSG,0.333,18,,49,83,,,11,,,20,3,40,,,,,,,,5.55,,,0,3,0,0,0,,,60,37
68856,2025,SSG,,39,,,71,7,0,6,,,,,,,,,,,,,4.1,0,0,2,2,0,1,0.5,278,1134,63 2/3,
65157,2025,SSG,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0.5,,,,,,,,,,,,,,,,,
68805,2025,SSG,0.143,23,7,5,1,0,0,0,1,1,,,,,,9,1,1,0,0,,,,,,,,,,,,
69893,2025,SSG,0.339,24,,33,38,,,7,,,18,1,13,,,,,,,,9,,,0,5,1,1,0,,,26,26
55894,2025,SSG,0.239,76,230,32,55,10,0,3,34,4,28,13,52,0.322,0.348,,,,,,,,,,,,,,,,,
75847,2025,SSG,0.243,92,329,54,80,12,0,23,63,1,,,,,,394,161,0,0,3,,,,,,,,,,,,
68868,2025,SSG,0.189,76,148,17,28,0,0,3,22,2,,,,,,188,37,0,3,4,,,,,,,,,,,,
50854,2025,SSG,0.28,137,508,65,142,13,4,7,43,28,,,,,,564,184,6,4,5,,,,,,,,,,,,
